Screen Name,Status ID,Text,Local Timestamp,Likes,Retweets,State,Outage_status
02465,2056519432544256.0,"Storm brings wind gusts, snow to region http://bit.ly/bbFiLn via http://outside.in/02465",12:54 PM - 9 Nov 2010,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",MA,1
KDosu,787735291895809.0,New Year's resolution: smoke less...get blackout drunk more often,12:53 AM - 6 Nov 2010,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",MA,0
LinkedIn,1.08208761903752e+18,"Aaron wanted a job that would let him pursue his passion for helping others. With the help of a hiring manager who found his profile on LinkedIn, Aaron found that opportunity. Find your next job on LinkedIn: https://lnkd.in/g_8wpjd  #InItTogetherpic.twitter.com/hpEoZWjcR0",8:32 PM - 6 Jan 2019,"Like
    
      
    444
  
  
    
      
      
      Liked
    
      
    444","Retweet
    
      
    67
  
  
    
      
      Retweeted
    
      
    67",MA,1
hughespjh,29079755300.0,Halloween at @EFSmithsonian today. Last year I had a lunch meeting with a zebra and a storm trooper. #whereelse,6:51 AM - 29 Oct 2010,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",MA,1
JoeCunliffe,28409490625.0,Big Baby: philosopher RT@iambigbaby11: Life isn't about waiting for the storm to passits about learning to dance in the rain...  Ayo baby,9:27 AM - 22 Oct 2010,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",MA,1
nasamuffin,28404698455.0,Sad that I missed commenting on the storm of @mbrosatellite tweets last night. #dickcarts? Classic! #poppinbottles? #keepitflexed,8:33 AM - 22 Oct 2010,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",MA,1
Fabie_Luv,27795634425.0,WTF.... Power is out!!!! Damn Nstar....  http://myloc.me/ddotv,9:39 PM - 18 Oct 2010,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",MA,0
topix_ma,26932666051.0,"Week in Review: Weapons Found at Scorched Home, Town-wide Power Outage, Appraisals - http://bit.ly/biktx5 #Needham #Massachusetts",7:31 AM - 10 Oct 2010,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",MA,0
bmemike,26682890407.0,in-flight wi-fi but no power. seems a bit backwards. wonder if it's worth pulling out the laptop. hmmmm ...,3:34 PM - 7 Oct 2010,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",MA,0
topix_ma,26577961704.0,Power Outage Temporarily Hits Needham - http://bit.ly/bzXvTp #Needham #Massachusetts,2:20 PM - 6 Oct 2010,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",MA,0
ACountingSheep,26072620980.0,I see sunlight this morning.  Anyone think this storm might show up today?  #weathermanfail,6:59 AM - 1 Oct 2010,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",MA,1
rencesram,26016791236.0,The calm before the storm. http://yfrog.com/17og2lcj,4:35 PM - 30 Sep 2010,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",MA,1
nicopetro,25988142157.0,And I just learned all the rain is from tropical storm Nicole! Just in time for a Nicole+Nicole weekend... Get ready for Nicole cubed?,10:10 AM - 30 Sep 2010,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",MA,1
02465,25924478510.0,Power outage shuts down state education department building http://bit.ly/c6ZIeB via http://outside.in/02465,5:50 PM - 29 Sep 2010,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",MA,0
EmersonDems,25356654502.0,Dorm storm tonight PRow! Be there. #regrumble #mapoli #CDM2010  http://myloc.me/cmOic,7:22 PM - 23 Sep 2010,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",MA,0
thejimmyc,24420643656.0,As a Yanks-Jets fan tonight is a perfect storm. Jets v. Ravens on MNF and CC Sabathia (Yankees) v. David Price (Rays). I love sports.,5:31 PM - 13 Sep 2010,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",MA,1
trace_1114,1.5147180059171226e+17,Senators take a 3-2 advantage.  Power play goal by Tim Conboy. #crap,8:17 PM - 26 Dec 2011,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",MA,1
trace_1114,1.5146799689486336e+17,GOAL!  Make it 2-1 on the power play!  Mike Sislo from Joe Whitney.,8:02 PM - 26 Dec 2011,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",MA,1
13905,1.5119962877002957e+17,Car Crash Causes Power Outage in Binghamton http://bit.ly/rNSsmj  via http://outside.in/13905,2:16 AM - 26 Dec 2011,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",MA,0
JimmyKimmelLive,1.0826846925187276e+18,.@IamGuillermo’s amazing New Year’s resolution brought to life thanks to @ChevyTrucks… #adpic.twitter.com/TMGdujVGjn,12:05 PM - 8 Jan 2019,"Like
    
      
    1.1K
  
  
    
      
      
      Liked
    
      
    1.1K","Retweet
    
      
    86
  
  
    
      
      Retweeted
    
      
    86",MA,1
13904,1.5119962876164096e+17,Car Crash Causes Power Outage in Binghamton http://bit.ly/sNr2g8  via http://outside.in/13904,2:16 AM - 26 Dec 2011,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",MA,0
13901,1.5119962833801626e+17,Car Crash Causes Power Outage in Binghamton http://bit.ly/shbCF1  via http://outside.in/13901,2:16 AM - 26 Dec 2011,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",MA,0
13903,1.5119962737331405e+17,Car Crash Causes Power Outage in Binghamton http://bit.ly/usRPwP  via http://outside.in/13903,2:16 AM - 26 Dec 2011,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",MA,0
13850,1.5119962547749683e+17,Car Crash Causes Power Outage in Binghamton http://bit.ly/uGCSYo  via http://outside.in/13850,2:16 AM - 26 Dec 2011,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",MA,0
13790,1.511996242024284e+17,Car Crash Causes Power Outage in Binghamton http://bit.ly/ub3Tbx  via http://outside.in/13790,2:16 AM - 26 Dec 2011,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",MA,0
Lil_RiRi,1.4679679141584077e+17,This 5 hour energy works but these girls are whispering a storm up in here! Stfu!,10:40 PM - 13 Dec 2011,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",MA,1
Lil_RiRi,1.4670800900182835e+17,Coughing up a storm. Hope I don't make this whole room sick,4:48 PM - 13 Dec 2011,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",MA,1
s_meej,1.4577938702598963e+17,10% power left on iPhone. To lazy to get charger.. #Insomniaitsbeenreal,3:18 AM - 11 Dec 2011,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",MA,0
caroooolineW,1.4306511526311936e+17,@hayl_storm hahahah that's so cute,3:32 PM - 3 Dec 2011,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",MA,1
GetPowerplaJobs,1.4234439623758234e+17,"Heavy Equipment Operator- Hazwoper - #Binghamton , NY (http://tinyurl.com/c5s9mfl ) Get Power Plant Jobs #PowerPlant #jobs #job #GetAllJobs",3:48 PM - 1 Dec 2011,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",MA,1
topix_ny,1.3993220814733312e+17,Last active power plant prepares to shut down - http://bit.ly/uMyJpU  #Binghamton #NewYork,12:03 AM - 25 Nov 2011,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",MA,0
GetPowerplaJobs,1.3947215131194982e+17,"Heavy Equipment Operator- Hazwoper - #Binghamton , NY (http://tinyurl.com/c5ln6ef ) Get Power Plant Jobs #PowerPlant #jobs #job #GetAllJobs",5:35 PM - 23 Nov 2011,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",MA,1
GetPowerplaJobs,1.3911544227812147e+17,"Heavy Equipment Operator - #Binghamton , NY (http://tinyurl.com/8y7pky2 ) Get Power Plant Jobs #PowerPlant #jobs #job #GetAllJobs",5:58 PM - 22 Nov 2011,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",MA,1
hogankevin,1.3395955839678874e+17,My 1 & only PSU tweet. Of course admin & JoePa were wrong. Ya know who is benefiting from the media storm? Sandusky.,12:30 PM - 8 Nov 2011,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",MA,1
pcmofo,1.3214331700473037e+17,"Reset my iPhone and re-calibrated the battery. iPhone 4S still sucking power. 53% at 1pm. 3hr use, 6hr standby.",12:13 PM - 3 Nov 2011,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",MA,1
tehsoulman1,1.3103848354757018e+17,The red power ranger is in my class I feel so much safer now,11:03 AM - 31 Oct 2011,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",MA,1
topix_ny,1.3051969563067597e+17,Nor'easter knocks out power for 2.3 million; Binghamton dodges most of storm - http://bit.ly/tvrQOu  #Binghamton #NewYork,12:41 AM - 30 Oct 2011,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",MA,0
topix_ny,1.3051965144787354e+17,Nor'easter knocks out power for 2.3 million; Binghamton dodges most of storm - http://bit.ly/sd39gH  #Binghamton #NewYork,12:41 AM - 30 Oct 2011,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",MA,0
topix_ny,1.2745637837262848e+17,Price Chopper to Offer Free Flu Vaccine Shots for Storm Victims in Five States - http://bit.ly/p6KV26  #ChenangoBridge #NewYork,1:49 PM - 21 Oct 2011,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",MA,1
lukefuller,1.2602609641102131e+17,"Keep losing power for 10 seconds at a time on upper front street, Binghamton, NY",3:05 PM - 17 Oct 2011,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",MA,0
CollegeHumor,1.0813144071693436e+18,Fantasy High: Like if the Breakfast Club and a goblin had a terrifying baby.,5:20 PM - 4 Jan 2019,"Like
    
      
    1
  
  
    
      
      
      Liked
    
      
    1","Retweet
    
      
    1
  
  
    
      
      Retweeted
    
      
    1",MA,1
ahoyyKT,1.256923063502848e+17,“@HannnnaD: 'Ugh water's no fun' @melissaliciousx love our Sunday power hourrrrrrr” out of control.,4:59 PM - 16 Oct 2011,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",MA,0
danielleallennn,1.1878219663397274e+17,hello mr. crazy storm cloud..,3:20 PM - 27 Sep 2011,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",MA,1
traciNJ,1.1700625893399347e+17,A storm is coming!  @ Moe's Southwest Grill http://instagr.am/p/N2U_y/,5:44 PM - 22 Sep 2011,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",MA,1
traciNJ,1.170057484159058e+17,A storm is coming!  @ Moe's Southwest Grill http://instagr.am/p/N2UMT/,5:41 PM - 22 Sep 2011,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",MA,1
511nyBinghamton,1.1614208161703526e+17,"Downed power lines, reduced to one lane on US 11 south from Town of Triangle; Town of Barker Line to East Main St; NY...http://bit.ly/7dFGS5",8:30 AM - 20 Sep 2011,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    1
  
  
    
      
      Retweeted
    
      
    1",MA,0
511NY,1.1614207946535731e+17,"Downed power lines, reduced to one lane on US 11 south from Town of Triangle; Town of Barker Line to East Main St; NY...http://bit.ly/5Xuc69",8:30 AM - 20 Sep 2011,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",MA,0
511nyBinghamton,1.1518703464101069e+17,"Ex ramp closed on NY 17 east at ex 68 - Pearl St; Ramp due to storm damage until 6:00PM, 09/23/11.",5:15 PM - 17 Sep 2011,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    1
  
  
    
      
      Retweeted
    
      
    1",MA,1
511NY,1.1518703209925837e+17,"Ex ramp closed on NY 17 east at ex 68 - Pearl St; Ramp due to storm damage until 6:00PM, 09/23/11.",5:15 PM - 17 Sep 2011,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",MA,1
topix_ny,1.144420995245097e+17,Bethel Residents Seek School Supplies to Aid in Tropical Storm Lee Aftermath - http://bit.ly/qfi0j2  #Owego #NewYork,3:54 PM - 15 Sep 2011,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",MA,1
JinWJung,1.1443805983934054e+17,@Cytokine_Storm brings football too and NBA camp #unlesslockoutcontinues,3:38 PM - 15 Sep 2011,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",MA,1
511nyBinghamton,1.1320904100152934e+17,"Closed to traffic, downed power lines on NY 206 in both directions from East Main St; NY 26; START Rte NY 206; Hickor...http://bit.ly/7dFGS5",6:15 AM - 12 Sep 2011,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    1
  
  
    
      
      Retweeted
    
      
    1",MA,0
511NY,1.1320902650181222e+17,"Closed to traffic, downed power lines on NY 206 in both directions from East Main St; NY 26; START Rte NY 206; Hickor...http://bit.ly/5Xuc69",6:15 AM - 12 Sep 2011,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",MA,0
511nyBinghamton,1.1304668493370163e+17,"Reduced to one lane, storm damage on I-88 west from ex 3 - NY 7B to START Rte I-88; ex   - I-81 until 7:00PM, 09/15/11.",7:30 PM - 11 Sep 2011,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    1
  
  
    
      
      Retweeted
    
      
    1",MA,1
511NY,1.1304668283653734e+17,"Reduced to one lane, storm damage on I-88 west from ex 3 - NY 7B to START Rte I-88; ex   - I-81 until 7:00PM, 09/15/11.",7:30 PM - 11 Sep 2011,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",MA,1
511nyBinghamton,1.1293347975437926e+17,"Rht lane closed on I-81 south from ex 6 S-N- US 11; Ramp to Castle Creek Rd; Ramp due to storm damage until 12:00PM, 09/16/11.",12:00 PM - 11 Sep 2011,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    1
  
  
    
      
      Retweeted
    
      
    1",MA,1
511NY,1.1293346350144307e+17,"Rht lane closed on I-81 south from ex 6 S-N- US 11; Ramp to Castle Creek Rd; Ramp due to storm damage until 12:00PM, 09/16/11.",12:00 PM - 11 Sep 2011,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",MA,1
511nyBinghamton,1.1288062615525786e+17,"Reduced to one lane on I-81 north at ex 7 - US 11 due to storm damage until 7:00PM, 09/15/11.",8:30 AM - 11 Sep 2011,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    1
  
  
    
      
      Retweeted
    
      
    1",MA,1
511NY,1.1288061018755482e+17,"Reduced to one lane on I-81 north at ex 7 - US 11 due to storm damage until 7:00PM, 09/15/11.",8:30 AM - 11 Sep 2011,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",MA,1
511nyBinghamton,1.1254840322070938e+17,"Closed to traffic, storm damage on NY 17 in both directions from ex 67N - NY 26; Ramp to Town of Owego; Town of Vesta...http://bit.ly/7dFGS5",10:30 AM - 10 Sep 2011,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    1
  
  
    
      
      Retweeted
    
      
    1",MA,1
511NY,1.1254840110679245e+17,"Closed to traffic, storm damage on NY 17 in both directions from ex 67N - NY 26; Ramp to Town of Owego; Town of Vesta...http://bit.ly/5Xuc69",10:30 AM - 10 Sep 2011,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",MA,1
Apple,1.0762616420386406e+18,"The new iPad Pro. Now with an all-screen design, Face ID, USB-C, and redesigned Apple Pencil.",6:42 PM - 21 Dec 2018,"Like
    
      
    45
  
  
    
      
      
      Liked
    
      
    45","Retweet
    
      
    12
  
  
    
      
      Retweeted
    
      
    12",MA,1
511nyBinghamton,1.1209541142617293e+17,"Lft lane closed, storm damage on I-81 north from ex 7 - US 11 to ex 8 - NY 26; Ramp until 7:00PM, 09/12/11.",4:30 AM - 9 Sep 2011,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    1
  
  
    
      
      Retweeted
    
      
    1",MA,1
511NY,1.1209540936676147e+17,"Lft lane closed, storm damage on I-81 north from ex 7 - US 11 to ex 8 - NY 26; Ramp until 7:00PM, 09/12/11.",4:30 AM - 9 Sep 2011,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",MA,1
511nyBinghamton,1.1160845404038758e+17,"Lft lane closed on I-81 north from ex 7 - US 11 to ex 8 - NY 26; Ramp due to storm damage until 7:00PM, 09/08/11.  lf...http://bit.ly/7dFGS5",8:15 PM - 7 Sep 2011,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    1
  
  
    
      
      Retweeted
    
      
    1",MA,1
511NY,1.1160845151961088e+17,"Lft lane closed on I-81 north from ex 7 - US 11 to ex 8 - NY 26; Ramp due to storm damage until 7:00PM, 09/08/11.  lf...http://bit.ly/5Xuc69",8:15 PM - 7 Sep 2011,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",MA,1
511nyBinghamton,1.1153303674671923e+17,Reduced to one lane on NY 17 west from ex   - I-81; Ramp to City of Binghamton; Town of Dickinson Line due to storm d...http://bit.ly/7dFGS5,3:15 PM - 7 Sep 2011,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    1
  
  
    
      
      Retweeted
    
      
    1",MA,1
511NY,1.1153302199533568e+17,Reduced to one lane on NY 17 west from ex   - I-81; Ramp to City of Binghamton; Town of Dickinson Line due to storm d...http://bit.ly/5Xuc69,3:15 PM - 7 Sep 2011,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",MA,1
conorfoley,1.1131299989304115e+17,"@mikeaxisa No, no, no. The Yankees' power hitting catcher's name is Jesus Montero. Not Cervelli.",12:41 AM - 7 Sep 2011,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",MA,1
